Complexity,Loss,Equation
1,1554.7744,"v_b"
3,966.98425,"v_b + r"
5,901.97906,"(v_b + r) + r"
6,718.04956,"(v_b + 62.278023) * 0.7575691"
7,688.73267,"sqrt(v_b * 205.66547)"
8,262.40372,"r + ((v_b + 53.696327) * 0.7372508)"
10,114.68111,"r + ((r + (v_b * 0.7169609)) + 31.98884)"
11,114.61791,"(r * 1.9797406) + ((v_b + 44.806408) * 0.71737164)"
12,59.32349,"sqrt(r * 331.64667) + (v_b * 0.7198092)"
13,59.32344,"v_b * ((18.21123 / sqrt(g_bar)) + 0.7198089)"
14,43.48358,"(v_b * 0.710454) + sqrt(321.05914 * (0.9119004 + r))"
15,40.751537,"(((16.406797 / sqrt(g_bar)) + 0.7001662) * v_b) + 9.417338"
17,30.386747,"(v_b + 7.5811415) * ((18.053251 / sqrt(g_bar + 96.998375)) + 0.6945097)"
